title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Looking for Alaska,"Green, John",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,Flagler Schools,June 2023,Banned from Libraries,Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,Lake County Schools,Fall 2022,Banned from Libraries and Classrooms,Legislative Action
Looking for Alaska,"Green, John",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Florida,School District of Osceola County,March 2023,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Florida,Volusia County Schools,January 2023,Banned from Libraries,Administration
Looking for Alaska,"Green, John",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Looking for Alaska,"Green, John",,,,,Michigan,Belding Area Schools,April 2023,Banned from Libraries,Administration
Looking for Alaska,"Green, John",,,,,Michigan,Chippewa Valley Schools,February 2023,Banned from Libraries,Formal Challenge
Looking for Alaska,"Green, John",,,,,Nebraska,Plattsmouth Community Schools,April 2023,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,,New York,Mahopac Central School District,December 2022,Banned from Libraries,Formal Challenge
Looking for Alaska,"Green, John",,,,,North Carolina,Catawba County Schools,May 2023,Banned from Libraries,Formal Challenge
Looking for Alaska,"Green, John",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Looking for Alaska,"Green, John",,,,,North Carolina,Wilkes County Schools,January 2023,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge
Looking for Alaska,"Green, John",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Utah,Davis School District,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Looking for Alaska,"Green, John",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Looking for Alaska,"Green, John",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
Looking for Alaska,"Green, John",,,,,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Looking for Alaska,"Green, John",,,,,Virginia,Spotsylvania County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Wyoming,Park County School District #1,February 2023,Banned Pending Investigation,Administration
The Fault in Our Stars,"Green, John",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Turtles All the Way Down,"Green, John",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Will Grayson, Will Grayson","Green, John","Levithan, David",,,"Will Grayson, Will Grayson",Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Lighter Than My Shadow,"Green, Katie",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Lighter Than My Shadow,"Green, Katie",,,,,Missouri,Raytown Quality Schools,September 2022,Banned from Libraries,Legislative Action
Lighter Than My Shadow,"Green, Katie",,,,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
Lighter Than My Shadow,"Green, Katie",,,,,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",,,,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",,,,,North Carolina,Charlotte-Mecklenburg Schools,February 2023,Banned Pending Investigation,Informal Challenge
Home Run,"Green, Tim",,,,Baseball Great,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration
Left Out,"Green, Tim",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration
King Solomon and the Queen of Sheba,"Greenberg, Blu","Tarry, Linda","Katz, Avi",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Stable Where Jesus Was Born,"Greene, Rhonda Gowler",,"Gaber, Susan",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Hooked,"Greenman, Catherine",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
André Kertész,"Greenough, Sarah","Gurbo, Robert; Kennel, Sarah",,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
None of the Above,"Gregorio, I. W.",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
None of the Above,"Gregorio, I. W.",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Ordinary Hazards,"Grimes, Nikki",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Kid Lawyer,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Abduction,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Accomplice,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Accused,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Activist,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Fugitive,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Scandal,"Grisham, John",,,,Theodore Boone,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Fates and Furies,"Groff, Lauren",,,,,Florida,Miami-Dade Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Water for Elephants,"Gruen, Sara",,,,,Florida,Brevard Public Schools,November 2022,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Highlands Schools,March 2023,Banned from Libraries and Classrooms,Administration
Water for Elephants,"Gruen, Sara",,,,,Florida,Orange County Public Schools,May 2023,Banned from Libraries and Classrooms,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,Santa Rosa County District Schools,June 2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Florida,St. John's County School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Michigan,Chippewa Valley Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
Water for Elephants,"Gruen, Sara",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,Texas,Keller Independent School District,April 2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Utah,Davis School District,March 2023,Banned from Libraries and Classrooms,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Utah,Granite School District,October 2022,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",,,,,Utah,Washington County School District,June 2023,Banned Pending Investigation,Administration
Water for Elephants,"Gruen, Sara",,,,,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,Virginia,Spotsylvania County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Water for Elephants,"Gruen, Sara",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Degas: Impressions of a Great Master,"Gruitrooy, Gerhard",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries,Informal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Utah,Davis School District,March 2023,Banned from Libraries,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Utah,Granite School District,October 2022,Banned from Libraries,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Utah,Washington County School District,February 2023,Banned from Libraries and Classrooms,Administration
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Back to the Drawing Board,"Gudsnuk, Kristen",,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Making Friends,"Gudsnuk, Kristen",,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Third Time's a Charm,"Gudsnuk, Kristen",,,,Making Friends,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
You Too?: 25 Voices Share Their #MeToo Stories,"Gurtler, Janet","Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
You Too?: 25 Voices Share Their #MeToo Stories,"Gurtler, Janet","Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Snow Falling on Cedars,"Guterson, David",,,,,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration
Homegoing,"Gyasi, Yaa",,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,,North Carolina,Cumberland County Schools,April 2023,Banned from Libraries,Administration
Homegoing,"Gyasi, Yaa",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,,Utah,Washington County School District,February 2023,Banned from Libraries and Classrooms,Administration
Almost American Girl,"Ha, Robin",,,,,New Jersey,Watchung Borough School District,May 2023,Banned from Classrooms,Informal Challenge
